Dataset,Model,frac,n_train,fold,rep,test_RMSE,train_RMSE
aemo,kNN,0.5,576,4,4,364.8299656352676,188.76202333469982
aemo,kNN,0.75,864,4,0,372.13961979225627,166.8161938662109
aemo,kNN,0.75,864,4,1,368.0072397627977,165.36765306840343
aemo,kNN,0.75,864,4,2,369.8991934455852,167.56666094147158
aemo,kNN,0.75,864,4,3,371.01982356504357,168.87372844494837
aemo,kNN,0.75,864,4,4,375.3736484814534,171.70508862607412
aemo,kNN,1.0,1152,4,0,366.69020479221365,153.18919806080942
aemo,kNN,1.0,1152,4,1,366.69020479221365,153.18919806080942
aemo,kNN,1.0,1152,4,2,366.69020479221365,153.18919806080942
aemo,kNN,1.0,1152,4,3,366.69020479221365,153.18919806080942
aemo,kNN,1.0,1152,4,4,366.69020479221365,153.18919806080942
aemo,MLP,0.1,115,0,0,686.2030756208842,634.5325472558535
aemo,MLP,0.25,288,0,0,287.1619843787552,308.29864117739464
aemo,MLP,0.5,576,0,0,270.0301878124243,280.9311935405186
aemo,MLP,0.75,864,0,0,265.533406500808,287.3906817039394
aemo,MLP,1.0,1152,0,0,260.5802191084955,298.9387644961315
aemo,MLP,0.1,115,1,0,650.7034277742766,497.0361094012869
aemo,MLP,0.25,288,1,0,420.58556637079244,275.51766153274895
aemo,MLP,0.5,576,1,0,430.85981545558514,255.62314325420286
aemo,MLP,0.75,864,1,0,421.59344789319664,260.70126942962565
aemo,MLP,1.0,1152,1,0,408.70443410823674,256.4242391261287
aemo,MLP,0.1,115,2,0,590.1177546492145,540.5538153904828
aemo,MLP,0.25,288,2,0,312.8981097274366,316.1033324954752
aemo,MLP,0.5,576,2,0,308.0371930453263,309.894891870254
aemo,MLP,0.75,864,2,0,311.34423117989104,302.0831366238496
aemo,MLP,1.0,1152,2,0,296.38690290855686,274.73229445087014
aemo,MLP,0.1,115,3,0,733.605047336715,624.6403084374846
aemo,MLP,0.25,288,3,0,346.34283533421205,313.59452037482276
aemo,MLP,0.5,576,3,0,336.55844212686674,290.1601537947734
aemo,MLP,0.75,864,3,0,342.11882851537416,290.25420112030986
aemo,MLP,1.0,1152,3,0,338.76150368900204,286.825007762134
aemo,MLP,0.1,115,4,0,590.3650439996402,520.4124580479906
aemo,MLP,0.25,288,4,0,342.1978678936749,270.48400969301
aemo,MLP,0.5,576,4,0,336.2317863733698,271.5763060827604
aemo,MLP,0.75,864,4,0,334.465769701168,289.70906764514297
aemo,MLP,1.0,1152,4,0,322.66372220948625,284.2748220327218
